Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cape Verde,233809.0,240301.0,246724.0,253087.0,259610.0,266624.0,274282.0,282888.0,292150.0,300922.0,307657.0,311349.0,311403.0,308423.0,304077.0,300726.0,300047.0,302737.0,308230.0,315410.0,322560.0,328481.0,332775.0,335966.0,338857.0,342646.0,348165.0,355655.0,364727.0,374820.0,385101.0,394946.0,404166.0,412893.0,421203.0,429278.0,437238.0,445096.0,452740.0,460031.0,466784.0,472883.0,478267.0,483023.0,487371.0,491621.0,495999.0,500585.0,505335.0,510213.0
Cayman Islands,8612.0,8701.0,8787.0,8875.0,9002.0,9216.0,9545.0,10004.0,10581.0,11253.0,11990.0,12764.0,13578.0,14432.0,15290.0,16110.0,16861.0,17524.0,18116.0,18702.0,19366.0,20172.0,21141.0,22253.0,23475.0,24752.0,26048.0,27363.0,28710.0,30074.0,31437.0,32792.0,34096.0,35361.0,36704.0,38284.0,40195.0,42501.0,45117.0,47815.0,50273.0,52268.0,53712.0,54679.0,55295.0,55763.0,56230.0,56729.0,57223.0,57708.0
Central African Rep.,1616524.0,1648838.0,1682880.0,1718560.0,1755258.0,1792147.0,1828709.0,1864764.0,1900723.0,1937410.0,1975985.0,2017362.0,2061466.0,2108232.0,2158547.0,2213492.0,2273630.0,2339759.0,2411176.0,2485120.0,2557808.0,2626638.0,2690250.0,2749702.0,2807768.0,2868515.0,2934777.0,3007347.0,3084958.0,3165869.0,3247456.0,3327710.0,3406451.0,3484027.0,3559604.0,3632287.0,3701607.0,3767068.0,3829238.0,3890075.0,3952281.0,4017880.0,4087534.0,4160940.0,4237961.0,4318128.0,4401051.0,4486837.0,4575586.0,4666833.0
Chad,3219259.0,3288547.0,3357972.0,3427888.0,3499681.0,3575273.0,3655905.0,3742580.0,3834574.0,3929341.0,4023300.0,4114094.0,4201073.0,4285738.0,4370560.0,4459072.0,4554089.0,4656116.0,4765160.0,4882913.0,5011242.0,5151339.0,5304490.0,5470211.0,5645708.0,5826974.0,6011224.0,6197766.0,6387856.0,6583079.0,6785842.0,6998108.0,7219081.0,7448585.0,7689836.0,7946982.0,8222327.0,8517944.0,8831199.0,9153893.0,9474792.0,9785902.0,10084087.0,10371839.0,10653762.0,10937089.0,11227208.0,11525496.0,11830573.0,12141876.0
Channel Islands,113765.0,114974.0,116200.0,117437.0,118676.0,119910.0,121126.0,122338.0,123534.0,124649.0,125599.0,126335.0,126821.0,127101.0,127299.0,127585.0,128085.0,128828.0,129777.0,130905.0,132156.0,133482.0,134898.0,136394.0,137856.0,139136.0,140137.0,140804.0,141179.0,141384.0,141594.0,141934.0,142448.0,143102.0,143847.0,144607.0,145330.0,145995.0,146626.0,147262.0,147963.0,148763.0,149682.0,150689.0,151705.0,152618.0,153352.0,153876.0,154218.0,154432.0
Chile,8457066.0,8655738.0,8849016.0,9037026.0,9220343.0,9400225.0,9577572.0,9752949.0,9925950.0,10095485.0,10260027.0,10418880.0,10571597.0,10719748.0,10867152.0,11018910.0,11178817.0,11348442.0,11527274.0,11714442.0,11908189.0,12107225.0,12310666.0,12518930.0,12733409.0,12956088.0,13187821.0,13429315.0,13678373.0,13929390.0,14174890.0,14409416.0,14630769.0,14840038.0,15039162.0,15231557.0,15419820.0,15604200.0,15783991.0,15959793.0,16132209.0,16301726.0,16468677.0,16633254.0,16795593.0,16955737.0,17113688.0,17269525.0,17423214.0,17574464.0
China,696171650.0,710290299.0,727601056.0,747678772.0,769666505.0,792308749.0,814622841.0,836431505.0,857804035.0,878305091.0,897479153.0,915040954.0,930744699.0,944726607.0,957584105.0,970179212.0,983170638.0,996667562.0,1010574797.0,1025090475.0,1040397958.0,1056579219.0,1073792041.0,1091904967.0,1110339206.0,1128297564.0,1145195229.0,1160799514.0,1175230312.0,1188687527.0,1201522570.0,1213986610.0,1226134423.0,1237849861.0,1249020152.0,1259476966.0,1269116737.0,1277903627.0,1285933789.0,1293396654.0,1300552134.0,1307593489.0,1314581402.0,1321481935.0,1328275524.0,1334908820.0,1341335152.0,1347565324.0,1353600687.0,1359368470.0
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2770.0,474.0,433.0,396.0,361.0,1490.0,1400.0,,,1400.0,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,633.0,632.0,630.0,629.0,628.0,574.0,596.0,,,596.0,,,
Colombia,18019927.0,18555731.0,19104020.0,19663029.0,20225830.0,20783427.0,21329811.0,21861689.0,22381887.0,22898136.0,23421644.0,23960605.0,24517307.0,25089511.0,25675364.0,26271401.0,26874906.0,27485678.0,28104254.0,28729367.0,29359535.0,29993539.0,30630754.0,31270841.0,31913250.0,32557521.0,33203321.0,33849971.0,34497319.0,35146220.0,35797965.0,36453337.0,37112621.0,37775054.0,38439099.0,39102653.0,39764166.0,40422597.0,41078136.0,41731914.0,42385712.0,43040558.0,43696540.0,44352327.0,45005782.0,45654044.0,46294841.0,46927125.0,47550708.0,48165221.0
Comoros,207856.0,212097.0,216728.0,221755.0,227075.0,232529.0,238032.0,243481.0,249000.0,254997.0,262030.0,270467.0,280464.0,291816.0,304071.0,316582.0,328861.0,340778.0,352416.0,363759.0,374852.0,385740.0,396391.0,406798.0,417077.0,427392.0,437876.0,448576.0,459515.0,470765.0,482401.0,494486.0,507062.0,520151.0,533754.0,547864.0,562469.0,577569.0,593170.0,609271.0,625876.0,642974.0,660559.0,678602.0,697034.0,715774.0,734750.0,753943.0,773344.0,792913.0
"Congo, Dem. Rep.",17065408.0,17543319.0,18048341.0,18579012.0,19130171.0,19694467.0,20267009.0,20845085.0,21431338.0,22032669.0,22658905.0,23316776.0,24011465.0,24740389.0,25493382.0,26255837.0,27018690.0,27781042.0,28551259.0,29341286.0,30167580.0,31044153.0,31963766.0,32927332.0,33965482.0,35117790.0,36406226.0,37856212.0,39443819.0,41081774.0,42650247.0,44067369.0,45295039.0,46369335.0,47373590.0,48429878.0,49626200.0,50989424.0,52491329.0,54098245.0,55754885.0,57420522.0,59088415.0,60772175.0,62474901.0,64204304.0,65965795.0,67757577.0,69575394.0,71419669.0
